theme,url,img,lines,author
BELIEVE IN YOURSELF,/inspirational-quotes/8161-just-remember-when-it-comes-to-your-life-you,https://assets.passiton.com/quotes/quote_artwork/8161/medium/20201201_tuesday_quote.jpg?1606327529,"Just remember, when it comes to your life, you are not only the artist but the masterpiece, as well. ",<Author:0x0000555919538870>
BELIEVE IN YOURSELF,/inspirational-quotes/6545-believe-in-yourself-and-all-that-you-are-know,https://assets.passiton.com/quotes/quote_artwork/6545/medium/20201130_monday_quote.jpg?1606327504,Believe in yourself and all that you are. Know that there is something inside you that is greater than any obstacle.,<Author:0x00005559195627d8>
GRATITUDE,/inspirational-quotes/4614-when-i-started-counting-my-blessings-my-whole,https://assets.passiton.com/quotes/quote_artwork/4614/medium/20201127_friday_quote.jpg?1605830558,"When I started counting my blessings, my whole life turned around.",<Author:0x00007fa85c68a130>
GRATITUDE,/inspirational-quotes/8160-gratitude-unlocks-the-fullness-of-life-it,https://assets.passiton.com/quotes/quote_artwork/8160/medium/20201126_thursday_quotex.jpg?1605895593,"Gratitude unlocks the fullness of life. It turns what we have into enough, and more.",<Author:0x00007fa85c733460>
GRATITUDE,/inspirational-quotes/8159-gratitude-is-a-powerful-catalyst-for-happiness,https://assets.passiton.com/quotes/quote_artwork/8159/medium/20201125_wednesday_quote.jpg?1605830510,Gratitude is a powerful catalyst for happiness. It’s the spark that lights a fire of joy in your soul. ,<Author:0x00007fa85c77ebe0>
GRATITUDE,/inspirational-quotes/3040-thankfulness-is-the-beginning-of-gratitude,https://assets.passiton.com/quotes/quote_artwork/3040/medium/20201124_tuesday_quotex.jpg?1605895562,Thankfulness is the beginning of gratitude.,<Author:0x00007fa85c7a2220>
GRATITUDE,/inspirational-quotes/8157-start-each-day-with-a-positive-thought-and-a,https://assets.passiton.com/quotes/quote_artwork/8157/medium/20201123_monday_quote.jpg?1605830150,Start each day with a positive thought and a grateful heart.,<Author:0x00007fa85c7ce050>
PERSISTENCE,/inspirational-quotes/7656-we-are-made-to-persist-thats-how-we-find-out,https://assets.passiton.com/quotes/quote_artwork/7656/medium/20201118_wednesday_quote.jpg?1605289394,We are made to persist. That's how we find out who we are.,<Author:0x00007fa85c7fcc70>
PERSISTENCE,/inspirational-quotes/6248-this-i-do-know-beyond-any-reasonable-doubt,https://assets.passiton.com/quotes/quote_artwork/6248/medium/20201119_thursday_quote.jpg?1605289417,"This I do know beyond any reasonable doubt. Regardless of what you are doing, if you pump long enough, hard enough and enthusiastically enough, sooner or later the effort will bring forth the reward.",<Author:0x00007fa85c83a7f0>
PERSISTENCE,/inspirational-quotes/5136-consider-the-postage-stamp-its-usefulness,https://assets.passiton.com/quotes/quote_artwork/5136/medium/20201120_friday_quote.jpg?1605289442,Consider the postage stamp: its usefulness consists in the ability to stick to one thing till it gets there.,<Author:0x00007fa85c861c38>
